guid,Country,Country Link,Capital,Capital Link,Flag,Map,Country:ru,Country Link:ru,Capital:ru,Capital Link:ru,Country:hr,tags
lnZb3E!:qZ,Nicaragua,https://en.wikipedia.org/wiki/Nicaragua,Managua,https://en.wikipedia.org/wiki/Managua,"<img src=""Nicaragua (1).png"" />","<img src=""Nicaragua.png"" />",Никара́гуа,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%BA%D0%B0%D1%80%D0%B0%D0%B3%D1%83%D0%B0,Мана́гуа,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BD%D0%B0%D0%B3%D1%83%D0%B0,Nikaragva,Central_America
"hq,X4p&O#,",Panama,https://en.wikipedia.org/wiki/Panama,Panama City,https://en.wikipedia.org/wiki/Panama_City,"<img src=""Panama (1).png"" />","<img src=""Panama.png"" />",Пана́ма,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD%D0%B0%D0%BC%D0%B0,Пана́ма́,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D0%BD%D0%B0%D0%BC%D0%B0_(%D0%B3%D0%BE%D1%80%D0%BE%D0%B4),Panama,Central_America
pE59vNSj8w,Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda,Saint John's,"https://en.wikipedia.org/wiki/St._John%27s,_Antigua_and_Barbuda","<img src=""AntiguaAndBarbuda.png"" />","<img src=""Antigua-and-Barbuda.png"" />",Анти́гуа и Барбу́да,https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D0%B8%D0%B3%D1%83%D0%B0_%D0%B8_%D0%91%D0%B0%D1%80%D0%B1%D1%83%D0%B4%D0%B0,Сент-Джонс,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%94%D0%B6%D0%BE%D0%BD%D1%81,Antigua i Barbuda,Central_America
BS4VO](qNL,Barbados,https://en.wikipedia.org/wiki/Barbados,Bridgetown,https://en.wikipedia.org/wiki/Bridgetown,"<img src=""Barbados (1).png"" />","<img src=""Barbados.png"" />",Барба́дос,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%B1%D0%B0%D0%B4%D0%BE%D1%81,Бри́джтаун,https://ru.wikipedia.org/wiki/%D0%91%D1%80%D0%B8%D0%B4%D0%B6%D1%82%D0%B0%D1%83%D0%BD,Barbados,Central_America
OApj~g@4P0,Dominica,https://en.wikipedia.org/wiki/Dominica,Roseau,https://en.wikipedia.org/wiki/Roseau,"<img src=""Dominica (1).png"" />","<img src=""Dominica.png"" />",Домини́ка,https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%BC%D0%B8%D0%BD%D0%B8%D0%BA%D0%B0,Розо́,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D0%B7%D0%BE,Dominika,Central_America
o~H;6]?tF.,Grenada,https://en.wikipedia.org/wiki/Grenada,St. George's,"https://en.wikipedia.org/wiki/St._George%27s,_Grenada","<img src=""Grenada (1).png"" />","<img src=""Grenada.png"" />",Грена́да,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BD%D0%B0%D0%B4%D0%B0,Се́нт-Джо́рджес,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%94%D0%B6%D0%BE%D1%80%D0%B4%D0%B6%D0%B5%D1%81,Grenada,Central_America
tnOm4gnSTc,Saint Kitts and Nevis,https://en.wikipedia.org/wiki/Saint_Kitts_and_Nevis,Basseterre,https://en.wikipedia.org/wiki/Basseterre,"<img src=""SaintKittsAndNevis.png"" />","<img src=""Saint-Kitts.png"" />",Сент-Ки́тс и Не́вис,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%9A%D0%B8%D1%82%D1%81_%D0%B8_%D0%9D%D0%B5%D0%B2%D0%B8%D1%81,Басте́р,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%81%D1%82%D0%B5%D1%80,Sv. Kitts i Nevis,Central_America
ht7#b99d_!,Saint Lucia,https://en.wikipedia.org/wiki/Saint_Lucia,Castries,https://en.wikipedia.org/wiki/Castries,"<img src=""SaintLucia.png"" />","<img src=""Saint-Lucia.png"" />",Сент-Люси́я,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%9B%D1%8E%D1%81%D0%B8%D1%8F,Кастри́,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%82%D1%80%D0%B8,Sveta Lucija,Central_America
JC=`9NOEGs,Saint Vincent and the Grenadines,https://en.wikipedia.org/wiki/Saint_Vincent_and_the_Grenadines,Kingstown,https://en.wikipedia.org/wiki/Kingstown,"<img src=""SaintVincentAndTheGrenadines.png"" />","<img src=""Saint-Vincent-and-the-Grenadines.png"" />",Сент-Ви́нсент и Гренади́ны,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%BD%D1%82-%D0%92%D0%B8%D0%BD%D1%81%D0%B5%D0%BD%D1%82_%D0%B8_%D0%93%D1%80%D0%B5%D0%BD%D0%B0%D0%B4%D0%B8%D0%BD%D1%8B,Ки́нгстаун,https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D0%BD%D0%B3%D1%81%D1%82%D0%B0%D1%83%D0%BD,Sveti Vincent i Grenadini,Central_America
dqZj.drI8b,Canada,https://en.wikipedia.org/wiki/Canada,Ottawa,https://en.wikipedia.org/wiki/Ottawa,"<img src=""Canada (1).png"" />","<img src=""Canada.png"" />",Кана́да,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BD%D0%B0%D0%B4%D0%B0,Отта́ва,https://ru.wikipedia.org/wiki/%D0%9E%D1%82%D1%82%D0%B0%D0%B2%D0%B0,Kanada,North_America
MCokj4Nr+6,Greenland,https://en.wikipedia.org/wiki/Greenland,Nuuk,https://en.wikipedia.org/wiki/Nuuk,"<img src=""Greenland (1).png"" />","<img src=""Greenland.png"" />",Гренла́ндия,https://ru.wikipedia.org/wiki/%D0%93%D1%80%D0%B5%D0%BD%D0%BB%D0%B0%D0%BD%D0%B4%D0%B8%D1%8F,Ну́ук,https://ru.wikipedia.org/wiki/%D0%9D%D1%83%D1%83%D0%BA,Grenland,North_America
O+HG^wzitV,United States of America,https://en.wikipedia.org/wiki/United_States_of_America,"Washington, D.C.","https://en.wikipedia.org/wiki/Washington,_D.C.","<img src=""UnitedStates.png"" />","<img src=""United-States.png"" />",Соединённые Шта́ты Аме́рики (США),https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%A8%D1%82%D0%B0%D1%82%D1%8B_%D0%90%D0%BC%D0%B5%D1%80%D0%B8%D0%BA%D0%B8,Вашингто́н,https://ru.wikipedia.org/wiki/%D0%92%D0%B0%D1%88%D0%B8%D0%BD%D0%B3%D1%82%D0%BE%D0%BD,Sjedinjene Američke Države,North_America
~]zeiqYVf5,Mexico,https://en.wikipedia.org/wiki/Mexico,Mexico City,https://en.wikipedia.org/wiki/Mexico_City,"<img src=""Mexico (1).png"" />","<img src=""Mexico.png"" />",Ме́ксика,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D0%BA%D1%81%D0%B8%D0%BA%D0%B0,Ме́хико,https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%85%D0%B8%D0%BA%D0%BE,Meksiko,North_America
